ds,temp_max,temp_min,rainfall,humidity,wind_speed
2015-01-01,23.7,16.7,0.2,75.0,8.3
2015-01-02,25.1,14.3,0.0,73.0,11.0
2015-01-03,25.4,16.4,0.0,68.0,7.8
2015-01-04,26.1,15.5,0.0,71.0,14.1
2015-01-05,27.4,15.3,0.0,69.0,14.0
2015-01-06,28.4,16.0,0.0,64.0,9.0
2015-01-07,28.9,16.7,0.0,60.0,11.8
2015-01-08,27.9,14.9,0.0,53.0,12.4
2015-01-09,27.3,12.6,0.0,42.0,11.9
2015-01-10,27.6,13.0,0.0,38.0,9.5
2015-01-11,28.2,13.3,0.0,38.0,9.8
2015-01-12,27.7,12.5,0.0,41.0,10.2
2015-01-13,28.2,14.7,0.0,40.0,9.3
2015-01-14,29.0,14.9,0.0,43.0,8.7
2015-01-15,28.2,14.0,0.0,48.0,8.8
2015-01-16,28.2,13.7,0.0,45.0,9.3
2015-01-17,28.0,14.4,0.0,45.0,9.0
2015-01-18,28.7,14.6,0.0,50.0,9.1
2015-01-19,29.2,16.0,0.0,57.0,11.9
2015-01-20,28.1,14.4,0.0,58.0,11.3
2015-01-21,28.9,15.2,0.0,60.0,13.4
2015-01-22,28.4,16.4,0.0,67.0,14.0
2015-01-23,27.5,16.3,0.0,70.0,9.8
2015-01-24,29.3,17.5,0.0,62.0,11.5
2015-01-25,28.7,18.5,0.0,63.0,12.2
2015-01-26,28.2,17.5,0.0,61.0,10.3
2015-01-27,29.5,17.2,0.0,60.0,12.9
2015-01-28,29.5,15.4,0.0,63.0,12.1
2015-01-29,29.2,16.2,0.0,63.0,8.9
2015-01-30,29.2,15.9,0.0,60.0,15.5
2015-01-31,29.8,15.6,0.0,54.0,13.0
2015-02-01,30.7,18.5,0.0,50.0,11.2
2015-02-02,31.5,17.2,0.0,49.0,10.5
2015-02-03,30.4,16.9,0.0,50.0,10.5
2015-02-04,30.7,16.7,0.0,40.0,12.6
2015-02-05,30.2,17.3,0.0,36.0,9.7
2015-02-06,30.3,15.7,0.0,37.0,11.5
2015-02-07,30.8,17.3,0.0,53.0,15.1
2015-02-08,28.7,14.5,0.0,54.0,10.7
2015-02-09,30.3,15.1,0.0,43.0,14.1
2015-02-10,31.5,16.7,0.7,52.0,12.3
2015-02-11,30.2,16.8,0.0,53.0,12.0
2015-02-12,30.2,18.2,0.0,52.0,11.9
2015-02-13,31.3,18.0,0.0,50.0,11.6
2015-02-14,31.9,18.5,0.0,46.0,10.3
2015-02-15,33.0,19.2,0.0,41.0,11.8
2015-02-16,33.8,19.8,0.0,37.0,11.3
2015-02-17,33.9,19.6,0.0,43.0,13.0
2015-02-18,32.8,15.6,0.0,41.0,14.4
2015-02-19,31.9,17.4,0.0,50.0,12.3
2015-02-20,32.7,17.7,0.0,47.0,9.7
2015-02-21,32.7,17.7,0.0,38.0,14.6
2015-02-22,33.1,18.3,0.0,39.0,14.1
2015-02-23,33.2,19.6,0.0,35.0,9.4
2015-02-24,33.6,19.6,0.0,45.0,13.4
2015-02-25,32.9,17.7,0.0,55.0,14.1
2015-02-26,31.9,18.0,0.0,53.0,14.5
2015-02-27,31.0,16.3,0.0,42.0,12.6
2015-02-28,28.7,16.1,22.8,68.0,16.1
2015-03-01,23.4,16.2,20.7,83.0,18.1
2015-03-02,24.6,15.6,1.2,76.0,16.6
2015-03-03,24.3,14.1,0.0,72.0,10.0
2015-03-04,25.9,13.2,0.0,64.0,7.9
2015-03-05,29.1,14.1,0.0,57.0,9.1
2015-03-06,30.6,16.5,0.0,57.0,10.3
2015-03-07,30.6,15.7,0.0,49.0,9.5
2015-03-08,31.6,17.3,0.0,48.0,11.9
2015-03-09,31.6,18.1,0.1,53.0,8.4
2015-03-10,31.2,18.3,2.0,68.0,16.3
2015-03-11,30.8,19.0,0.2,75.0,10.5
2015-03-12,31.9,18.9,0.7,58.0,16.3
2015-03-13,32.9,18.0,1.1,61.0,11.6
2015-03-14,32.2,19.3,1.6,63.0,14.9
2015-03-15,30.4,20.1,0.0,72.0,15.2
2015-03-16,30.9,17.2,0.0,67.0,13.1
2015-03-17,32.9,17.5,0.0,55.0,12.1
2015-03-18,33.5,18.4,0.0,43.0,11.2
2015-03-19,34.9,18.8,0.0,48.0,15.2
2015-03-20,35.1,20.9,0.0,52.0,12.3
2015-03-21,35.8,22.0,0.0,50.0,9.8
2015-03-22,36.4,21.6,0.7,53.0,9.9
2015-03-23,36.2,22.2,0.0,49.0,9.7
2015-03-24,37.4,21.3,0.0,46.0,10.2
2015-03-25,37.5,22.7,0.0,42.0,13.8
2015-03-26,37.1,23.2,0.5,57.0,9.8
2015-03-27,36.5,22.9,2.9,61.0,9.0
2015-03-28,36.4,21.8,1.6,62.0,9.4
2015-03-29,34.2,23.6,2.4,64.0,10.8
